CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
CASTILLA - LA MANCHA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
CASTILLA - LA MANCHA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,1
CASTILLA - LA MANCHA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,1
CASTILLA - LA MANCHA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,1
CASTILLA - LA MANCHA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,6
CASTILLA - LA MANCHA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
CATALUnyA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,1
CATALUnyA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,0
CATALUnyA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
COMUNITAT VALENCIANA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,8
COMUNITAT VALENCIANA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,12
COMUNITAT VALENCIANA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
COMUNITAT VALENCIANA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
COMUNITAT VALENCIANA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,3
COMUNITAT VALENCIANA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
COMUNITAT VALENCIANA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,3
COMUNITAT VALENCIANA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,1
EXTREMADURA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,1
EXTREMADURA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,3
EXTREMADURA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,0
EXTREMADURA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
EXTREMADURA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,0
EXTREMADURA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,2
EXTREMADURA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,1
EXTREMADURA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
GALICIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,3
GALICIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,1
GALICIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,3
GALICIA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
GALICIA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,3
GALICIA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
GALICIA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,2
GALICIA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
